TARGET_FID,provinsi,POS_HUJAN_ID,NAME,CURRENT_LATITUDE,CURRENT_LONGITUDE,tipe_iklim
1,Sulut,71010501a,BPP Sangtombolang,0.84,123.89,Monsunal
2,Sulut,71010502a,KC Sangtombolang,0.84,123.83,Monsunal
3,Sulut,71010901a,BPP Dumoga Tengah,0.55,124.03,Ekuatorial
4,Sulut,71010902a,KC Dumoga Barat,0.55,123.99,Ekuatorial
5,Sulut,71011001a,BPP Dumoga Timur,0.6,124.08,Ekuatorial
6,Sulut,71011101a,BPP Dumoga Utara,0.57,123.99,Ekuatorial
7,Sulut,71011201a,KD Motabang Lolak,0.88,124,Monsunal
8,Sulut,71011202a,KD Labuhan Uki,0.86,123.94,Monsunal
9,Sulut,71011203a,BPP Lolak,0.88,124.04,Monsunal
10,Sulut,71011301a,BPP Bolaang,0.87,124.12,Monsunal
11,Sulut,71011302a,KC Bolaang,0.92,124.1,Monsunal
12,Sulut,71011401a,BPP Lolayan,0.67,124.27,Ekuatorial
13,Sulut,71011901a,BPP Passi Barat,0.77,124.3,Ekuatorial
14,Sulut,71012001a,KC Poigar,0.99,124.28,Monsunal
15,Sulut,71012002a,BPP Poigar,0.99,124.26,Monsunal
16,Sulut,71012201a,KD Pangian Barat,0.8,124.4,Ekuatorial
17,Sulut,71013101a,BPP Bolaang Timur,0.92,124.12,Monsunal
18,Sulut,71020101a,BPP Tondano Barat,1.3,124.9,Ekuatorial
19,Sulut,71020201a,BPP Tondano Timur,1.27,124.94,Ekuatorial
20,Sulut,71020202a,Stageof Tondano,1.29,124.92,Ekuatorial
21,Sulut,71020301a,UPTD Eris,1.23,124.85,Monsunal
22,Sulut,71020302a,BPP Eris,1.23,124.92,Monsunal
23,Sulut,71020401a,UPTD Kombi,1.24,124.97,Ekuatorial
24,Sulut,71020501a,UPTD Lembean Timur,1.22,124.96,Ekuatorial
25,Sulut,71020502a,BPP Lembean Timur,1.22,124.96,Ekuatorial
26,Sulut,71020601a,BBU Wasian Kakas,1.17,124.87,Monsunal
27,Sulut,71020701a,BPP Tompaso,1.19,124.79,Monsunal
28,Sulut,71020801a,BPP Remboken,1.24,124.89,Monsunal
29,Sulut,71020901a,KD Sumaraya,1.18,124.84,Monsunal
30,Sulut,71021001a,BPP Langowan Barat,1.14,124.82,Monsunal
31,Sulut,71021101a,KC Sonder,1.26,124.78,Monsunal
32,Sulut,71021201a,KD Kanonang II,1.18,124.78,Monsunal
33,Sulut,71021202a,UPTD Kawangkoan,1.2,124.79,Monsunal
34,Sulut,71021301a,SPP Kalasey,1.45,124.77,Monsunal
35,Sulut,71021302a,KD Kali Pineleng,1.4,124.84,Monsunal
36,Sulut,71021303a,BPP Pineleng,1.43,124.8,Monsunal
37,Sulut,71021401a,BPP Tombulu,1.45,124.89,Monsunal
38,Sulut,71021501a,"KD Tambala, Tanawangko",1.4,124.69,Monsunal
39,Sulut,71021502a,BPP Tombariri,1.34,124.73,Monsunal
40,Sulut,71021601a,BPP Tondano Utara,1.32,124.91,Ekuatorial
41,Sulut,71021602a,PLTA Tonsealama,1.33,124.92,Ekuatorial
